,index,x,y,diameter,country,un_region,size,type,id,country_source,country_target,path
0,MX,1588.6,1056.8,8.2083,Mexico,Americas,52.9215109315932,node,,,,
1,CA,1769.9,99.135,2.7639,Canada,Americas,6.005642854384275,node,,,,
2,CL,1741.3,2044.4,2.8472,Chile,Americas,6.36174465911226,node,,,,
3,JP,1157.5,823.57,1.9444,Japan,Asia,2.9863551198562663,node,,,,
4,GB,1123.7,2426.1,2.6944,UK,Europe,5.711713208751843,node,,,,
5,US,2329.6,633.68,8.7361,USA,Americas,60.0,node,,,,
6,CN,2197.2,1784.1,1.8889,China,Asia,2.820982864740985,node,,,,
7,PE,1527.5,1573.8,5.9167,Peru,Americas,27.512550906918207,node,,,,
8,CO,743.02,1985.3,2.1944,Colombia,Americas,3.7941745821648114,node,,,,
9,DE,2089.3,2221.1,3.7222,Germany,Europe,10.872161598719426,node,,,,
10,NL,1114.1,2057.9,7.3056,Netherlands,Europe,41.95968815949264,node,,,,
11,PL,1974.1,1486.0,1.8333,Poland,Europe,2.6367947946459718,node,,,,
12,ES,580.27,2366.9,4.8056,Spain,Europe,18.146069154497297,node,,,,
13,FR,145.47,1833.0,4.0278,France,Europe,12.76307835413862,node,,,,
14,IT,459.94,1440.3,1.875,Italy,Europe,2.750319022772357,node,,,,
15,RU,1615.7,2795.8,1.7222,Russia,Europe,2.335493781561531,node,,,,
16,MA,209.82,2919.9,2.2917,Morocco,Africa,4.121293908312294,node,,,,
17,IL,1284.6,2984.2,2.4861,Israel,Asia,4.86826928831983,node,,,,
18,ZA,917.7,2859.9,1.9028,South Africa,Africa,2.8479000870219604,node,,,,
19,KE,649.27,2764.5,1.8333,Kenya,Africa,2.630139655338675,node,,,,
20,,1657.4,769.15,,,Americas,,edge,0,Mexico,Canada,0
21,,1663.3979988034278,743.7647889961856,,,Americas,,edge,0,Mexico,Canada,1
22,,1669.1060083773918,719.4927327881742,,,Americas,,edge,0,Mexico,Canada,2
23,,1674.5356446649246,696.2735311782662,,,Americas,,edge,0,Mexico,Canada,3
24,,1679.6982301036935,674.0491260166657,,,Americas,,edge,0,Mexico,Canada,4
25,,1684.6047936260072,652.7637012014812,,,Americas,,edge,0,Mexico,Canada,5
26,,1689.2660706588133,632.3636826787256,,,Americas,,edge,0,Mexico,Canada,6
27,,1693.692503123699,612.7977384423158,,,Americas,,edge,0,Mexico,Canada,7
28,,1697.8942394368862,594.0167785340726,,,Americas,,edge,0,Mexico,Canada,8
29,,1701.8811345092397,575.9739550437213,,,Americas,,edge,0,Mexico,Canada,9
30,,1705.6627497462616,558.6246621088916,,,Americas,,edge,0,Mexico,Canada,10
31,,1709.2483530480927,541.9265359151165,,,Americas,,edge,0,Mexico,Canada,11
32,,1712.6469188095127,525.8394546958342,,,Americas,,edge,0,Mexico,Canada,12
33,,1715.8671279199402,510.3255387323864,,,Americas,,edge,0,Mexico,Canada,13
34,,1718.9173677634321,495.3491503540192,,,Americas,,edge,0,Mexico,Canada,14
35,,1721.8057322186844,480.87689393788287,,,Americas,,edge,0,Mexico,Canada,15
36,,1724.5400216590306,466.8776159090315,,,Americas,,edge,0,Mexico,Canada,16
37,,1727.1277429524457,453.3224047404239,,,Americas,,edge,0,Mexico,Canada,17
38,,1729.5761094615407,440.18459095292275,,,Americas,,edge,0,Mexico,Canada,18
39,,1731.8920410435676,427.43974711529506,,,Americas,,edge,0,Mexico,Canada,19
40,,1734.0821640504155,415.06568784421177,,,Americas,,edge,0,Mexico,Canada,20
41,,1736.1528113286129,403.0424698042481,,,Americas,,edge,0,Mexico,Canada,21
42,,1738.1100222193272,391.3523917078838,,,Americas,,edge,0,Mexico,Canada,22
43,,1739.959542558364,379.9799943155019,,,Americas,,edge,0,Mexico,Canada,23
44,,1741.7068246761683,368.9120604353906,,,Americas,,edge,0,Mexico,Canada,24
45,,1743.3570273978232,358.13761492374147,,,Americas,,edge,0,Mexico,Canada,25
46,,1744.9150160430518,347.64792468465095,,,Americas,,edge,0,Mexico,Canada,26
47,,1746.3853624262138,337.43649867011897,,,Americas,,edge,0,Mexico,Canada,27
48,,1747.7723448563097,327.49908788005,,,Americas,,edge,0,Mexico,Canada,28
49,,1749.0799481369781,317.8336853622528,,,Americas,,edge,0,Mexico,Canada,29
50,,1750.311863566496,308.44052621244,,,Americas,,edge,0,Mexico,Canada,30
51,,1751.4714889377794,299.3220875742286,,,Americas,,edge,0,Mexico,Canada,31
52,,1752.5619285383832,290.4830886391395,,,Americas,,edge,0,Mexico,Canada,32
53,,1753.5859931505008,281.93049064659823,,,Americas,,edge,0,Mexico,Canada,33
54,,1754.5462000509642,273.6734968839341,,,Americas,,edge,0,Mexico,Canada,34
55,,1755.4447730112452,265.72355268638074,,,Americas,,edge,0,Mexico,Canada,35
56,,1756.283642297453,258.0943454370758,,,Americas,,edge,0,Mexico,Canada,36
57,,1757.0644446703363,250.80180456706137,,,Americas,,edge,0,Mexico,Canada,37
58,,1757.7885233852826,243.86410155528353,,,Americas,,edge,0,Mexico,Canada,38
59,,1758.4569281923177,237.30164992859255,,,Americas,,edge,0,Mexico,Canada,39
60,,1759.0704153361062,231.13710526174282,,,Americas,,edge,0,Mexico,Canada,40
61,,1759.629447555952,225.39536517739296,,,Americas,,edge,0,Mexico,Canada,41
62,,1760.1341940857976,220.10356934610581,,,Americas,,edge,0,Mexico,Canada,42
63,,1760.5845306542237,215.2910994863483,,,Americas,,edge,0,Mexico,Canada,43
64,,1760.9800394844506,210.98957936449153,,,Americas,,edge,0,Mexico,Canada,44
65,,1761.3200092943364,207.2328747948108,,,Americas,,edge,0,Mexico,Canada,45
66,,1761.6034352963788,204.05709363948557,,,Americas,,edge,0,Mexico,Canada,46
67,,1761.8290191977137,201.50058580859945,,,Americas,,edge,0,Mexico,Canada,47
68,,1761.9951692001162,199.60394326014028,,,Americas,,edge,0,Mexico,Canada,48
69,,1762.1,198.41,,,Americas,,edge,0,Mexico,Canada,49
70,,1728.4,1317.6,,,Americas,,edge,1,Mexico,Chile,0
71,,1737.6653172416532,1336.4795060228444,,,Americas,,edge,1,Mexico,Chile,1
72,,1746.334065998115,1354.6983660320623,,,Americas,,edge,1,Mexico,Chile,2
73,,1754.4177439776324,1372.3224517897495,,,Americas,,edge,1,Mexico,Chile,3
74,,1761.9281973480092,1389.4141679478616,,,Americas,,edge,1,Mexico,Chile,4
75,,1768.8776207366047,1406.0324520482145,,,Americas,,edge,1,Mexico,Chile,5
76,,1775.2785572303362,1422.2327745224854,,,Americas,,edge,1,Mexico,Chile,6
77,,1781.1438983756768,1438.067138692212,,,Americas,,edge,1,Mexico,Chile,7
78,,1786.486884178656,1453.5840807687898,,,Americas,,edge,1,Mexico,Chile,8
79,,1791.3211031048602,1468.828669853478,,,Americas,,edge,1,Mexico,Chile,9
80,,1795.6604920794316,1483.8425079373942,,,Americas,,edge,1,Mexico,Chile,10
81,,1799.51933648707,1498.6637299015174,,,Americas,,edge,1,Mexico,Chile,11
82,,1802.9122701720316,1513.3270035166863,,,Americas,,edge,1,Mexico,Chile,12
83,,1805.8542754381285,1527.863529443601,,,Americas,,edge,1,Mexico,Chile,13
84,,1808.3606830487297,1542.3010412328197,,,Americas,,edge,1,Mexico,Chile,14
85,,1810.4471722267608,1556.6638053247634,,,Americas,,edge,1,Mexico,Chile,15
86,,1812.1297706547027,1570.972621049712,,,Americas,,edge,1,Mexico,Chile,16
87,,1813.4248544745956,1585.2448206278068,,,Americas,,edge,1,Mexico,Chile,17
88,,1814.349148288033,1599.4942691690485,,,Americas,,edge,1,Mexico,Chile,18
89,,1814.9197251561675,1613.7313646732991,,,Americas,,edge,1,Mexico,Chile,19
90,,1815.1540065997071,1627.9630380302801,,,Americas,,edge,1,Mexico,Chile,20
91,,1815.0697625989167,1642.1927530195749,,,Americas,,edge,1,Mexico,Chile,21
92,,1814.685111593618,1656.4205063106251,,,Americas,,edge,1,Mexico,Chile,22
93,,1814.0185204831876,1670.6428274627347,,,Americas,,edge,1,Mexico,Chile,23
94,,1813.0888046265604,1684.852778925066,,,Americas,,edge,1,Mexico,Chile,24
95,,1811.915127842227,1699.0399560366436,,,Americas,,edge,1,Mexico,Chile,25
96,,1810.5170024082356,1713.1904870263515,,,Americas,,edge,1,Mexico,Chile,26
97,,1808.9142890621897,1727.287033012935,,,Americas,,edge,1,Mexico,Chile,27
98,,1807.1271970012497,1741.3087880049982,,,Americas,,edge,1,Mexico,Chile,28
99,,1805.1762838821323,1755.2314789010063,,,Americas,,edge,1,Mexico,Chile,29
100,,1803.0824558211118,1769.0273654892858,,,Americas,,edge,1,Mexico,Chile,30
101,,1800.8669673940176,1782.6652404480226,,,Americas,,edge,1,Mexico,Chile,31
102,,1798.5514216362371,1796.1104293452627,,,Americas,,edge,1,Mexico,Chile,32
103,,1796.1577700427129,1809.3247906389138,,,Americas,,edge,1,Mexico,Chile,33
104,,1793.7083125679449,1822.2667156767423,,,Americas,,edge,1,Mexico,Chile,34
105,,1791.225697625989,1834.8911286963764,,,Americas,,edge,1,Mexico,Chile,35
106,,1788.732922090459,1847.149486825304,,,Americas,,edge,1,Mexico,Chile,36
107,,1786.2533312945234,1858.9897800808735,,,Americas,,edge,1,Mexico,Chile,37
108,,1783.8106190309081,1870.3565313702934,,,Americas,,edge,1,Mexico,Chile,38
109,,1781.4288275518966,1881.1907964906336,,,Americas,,edge,1,Mexico,Chile,39
110,,1779.1323475693264,1891.4301641288225,,,Americas,,edge,1,Mexico,Chile,40
111,,1776.9459182545938,1901.0087558616506,,,Americas,,edge,1,Mexico,Chile,41
112,,1774.8946272386506,1909.8572261557683,,,Americas,,edge,1,Mexico,Chile,42
113,,1773.0039106120055,1917.9027623676861,,,Americas,,edge,1,Mexico,Chile,43
114,,1771.2995529247237,1925.069084743775,,,Americas,,edge,1,Mexico,Chile,44
115,,1769.8076871864268,1931.276446420267,,,Americas,,edge,1,Mexico,Chile,45
116,,1768.554794866293,1936.4416334232526,,,Americas,,edge,1,Mexico,Chile,46
117,,1767.5677058930569,1940.4779646686848,,,Americas,,edge,1,Mexico,Chile,47
118,,1766.87359865501,1943.2952919623765,,,Americas,,edge,1,Mexico,Chile,48
119,,1766.5,1944.8,,,Americas,,edge,1,Mexico,Chile,49
120,,1367.2,860.84,,,Americas,,edge,2,Mexico,Japan,0
121,,1364.2868838317227,859.4928777801697,,,Americas,,edge,2,Mexico,Japan,1
122,,1361.3579030394974,858.1916515001991,,,Americas,,edge,2,Mexico,Japan,2
123,,1358.4104860167768,856.9347314018299,,,Americas,,edge,2,Mexico,Japan,3
124,,1355.4423867189867,855.7205762696755,,,Americas,,edge,2,Mexico,Japan,4
125,,1352.4516846635295,854.5476934312215,,,Americas,,edge,2,Mexico,Japan,5
126,,1349.4367849297832,853.4146387568278,,,Americas,,edge,2,Mexico,Japan,6
127,,1346.3964181591004,852.3200166597253,,,Americas,,edge,2,Mexico,Japan,7
128,,1343.3296405548085,851.2624800960173,,,Americas,,edge,2,Mexico,Japan,8
129,,1340.2358338822103,850.2407305646803,,,Americas,,edge,2,Mexico,Japan,9
130,,1337.1147054685841,849.2535181075634,,,Americas,,edge,2,Mexico,Japan,10
131,,1333.966288203183,848.2996413093875,,,Americas,,edge,2,Mexico,Japan,11
132,,1330.7909405372359,847.3779472977469,,,Americas,,edge,2,Mexico,Japan,12
133,,1327.5893464839462,846.4873317431078,,,Americas,,edge,2,Mexico,Japan,13
134,,1324.3625156184921,845.6267388588088,,,Americas,,edge,2,Mexico,Japan,14
135,,1321.1117830780286,844.7951614010617,,,Americas,,edge,2,Mexico,Japan,15
136,,1317.8388095616833,843.9916406689496,,,Americas,,edge,2,Mexico,Japan,16
137,,1314.5455813305614,843.2152665044293,,,Americas,,edge,2,Mexico,Japan,17
138,,1311.2344102077418,842.4651772923298,,,Americas,,edge,2,Mexico,Japan,18
139,,1307.9079335782799,841.7405599603525,,,Americas,,edge,2,Mexico,Japan,19
140,,1304.569114389204,841.040649979071,,,Americas,,edge,2,Mexico,Japan,20
141,,1301.221241149521,840.3647313619324,,,Americas,,edge,2,Mexico,Japan,21
142,,1297.8679279302096,839.7121366652552,,,Americas,,edge,2,Mexico,Japan,22
143,,1294.5131143642252,839.0822469882307,,,Americas,,edge,2,Mexico,Japan,23
144,,1291.1610656464984,838.4744919729231,,,Americas,,edge,2,Mexico,Japan,24
145,,1287.816372533935,837.8883498042691,,,Americas,,edge,2,Mexico,Japan,25
146,,1284.4839513454149,837.323347210077,,,Americas,,edge,2,Mexico,Japan,26
147,,1281.169043961795,836.7790594610292,,,Americas,,edge,2,Mexico,Japan,27
148,,1277.8772178259057,836.2551103706788,,,Americas,,edge,2,Mexico,Japan,28
149,,1274.6143659425538,835.7511722954531,,,Americas,,edge,2,Mexico,Japan,29
150,,1271.3867068785205,835.2669661346507,,,Americas,,edge,2,Mexico,Japan,30
151,,1268.2007847625614,834.8022613304431,,,Americas,,edge,2,Mexico,Japan,31
152,,1265.06346928541,834.3568758678747,,,Americas,,edge,2,Mexico,Japan,32
153,,1261.9819556997718,833.930676274862,,,Americas,,edge,2,Mexico,Japan,33
154,,1258.9637648203295,833.5235776221937,,,Americas,,edge,2,Mexico,Japan,34
155,,1256.0167430237402,833.1355435235317,,,Americas,,edge,2,Mexico,Japan,35
156,,1253.1490622486363,832.7665861354104,,,Americas,,edge,2,Mexico,Japan,36
157,,1250.3692199956254,832.4167661572359,,,Americas,,edge,2,Mexico,Japan,37
158,,1247.68603932729,832.0861928312876,,,Americas,,edge,2,Mexico,Japan,38
159,,1245.1086688681883,831.7750239427172,,,Americas,,edge,2,Mexico,Japan,39
160,,1242.646582804853,831.4834658195487,,,Americas,,edge,2,Mexico,Japan,40
161,,1240.309580885793,831.2117733326788,,,Americas,,edge,2,Mexico,Japan,41
162,,1238.107788421491,830.9602498958768,,,Americas,,edge,2,Mexico,Japan,42
163,,1236.051656284406,830.729247465784,,,Americas,,edge,2,Mexico,Japan,43
164,,1234.1519609089717,830.5191665419152,,,Americas,,edge,2,Mexico,Japan,44
165,,1232.4198042915966,830.330456166657,,,Americas,,edge,2,Mexico,Japan,45
166,,1230.866613990665,830.1636139252682,,,Americas,,edge,2,Mexico,Japan,46
167,,1229.5041431265365,830.0191859458807,,,Americas,,edge,2,Mexico,Japan,47
168,,1228.344470381545,829.8977668994992,,,Americas,,edge,2,Mexico,Japan,48
169,,1227.4,829.8,,,Americas,,edge,2,Mexico,Japan,49
170,,1533.0,1347.2,,,Americas,,edge,3,Mexico,UK,0
171,,1523.3479103615198,1396.7852371833822,,,Americas,,edge,3,Mexico,UK,1
172,,1514.0818153826988,1443.8412660558445,,,Americas,,edge,3,Mexico,UK,2
173,,1505.1551547052536,1488.508732929376,,,Americas,,edge,3,Mexico,UK,3
174,,1496.523837579129,1530.923341152626,,,Americas,,edge,3,Mexico,UK,4
175,,1488.1462428625027,1571.2158511109058,,,Americas,,edge,3,Mexico,UK,5
