source,target,value,angle_degrees
Amsterdam_Gap,Amsterdam_Gap,4.864864864864865,0
Amsterdam,Amsterdam,0,4.864864864864865
Barcelona_Gap,Barcelona_Gap,9.72972972972973,4.864864864864865
Barcelona,Barcelona,0,14.594594594594595
Belfast_Gap,Belfast_Gap,9.729729729729728,14.594594594594595
Belfast,Belfast,0,24.324324324324323
Belgrade_Gap,Belgrade_Gap,9.729729729729733,24.324324324324323
Belgrade,Belgrade,0,34.054054054054056
Bern_Gap,Bern_Gap,9.729729729729726,34.054054054054056
Bern,Bern,0,43.78378378378378
Bilbao_Gap,Bilbao_Gap,9.729729729729733,43.78378378378378
Bilbao,Bilbao,0,53.513513513513516
Bordeaux_Gap,Bordeaux_Gap,9.729729729729726,53.513513513513516
Bordeaux,Bordeaux,0,63.24324324324324
Bratislava_Gap,Bratislava_Gap,9.729729729729726,63.24324324324324
Bratislava,Bratislava,0,72.97297297297297
Brussels_Gap,Brussels_Gap,9.72972972972974,72.97297297297297
Brussels,Brussels,0,82.70270270270271
Bucharest_Gap,Bucharest_Gap,9.729729729729726,82.70270270270271
Bucharest,Bucharest,0,92.43243243243244
Budapest_Gap,Budapest_Gap,9.729729729729726,92.43243243243244
Budapest,Budapest,0,102.16216216216216
Copenhagen_Gap,Copenhagen_Gap,9.729729729729726,102.16216216216216
Copenhagen,Copenhagen,0,111.89189189189189
Dublin_Gap,Dublin_Gap,9.72972972972974,111.89189189189189
Dublin,Dublin,0,121.62162162162163
Geneva_Gap,Geneva_Gap,9.729729729729726,121.62162162162163
Geneva,Geneva,0,131.35135135135135
Helsinki_Gap,Helsinki_Gap,9.72972972972974,131.35135135135135
Helsinki,Helsinki,0,141.0810810810811
Kiev_Gap,Kiev_Gap,9.729729729729712,141.0810810810811
Kiev,Kiev,0,150.8108108108108
Lisbon_Gap,Lisbon_Gap,9.72972972972974,150.8108108108108
Lisbon,Lisbon,0,160.54054054054055
London_Gap,London_Gap,9.729729729729712,160.54054054054055
London,London,0,170.27027027027026
Madrid_Gap,Madrid_Gap,9.72972972972974,170.27027027027026
Madrid,Madrid,0,180.0
Milan_Gap,Milan_Gap,9.72972972972974,180.0
Milan,Milan,0,189.72972972972974
Minsk_Gap,Minsk_Gap,9.729729729729712,189.72972972972974
Minsk,Minsk,0,199.45945945945945
Moscow_Gap,Moscow_Gap,9.72972972972974,199.45945945945945
Moscow,Moscow,0,209.1891891891892
Munich_Gap,Munich_Gap,9.72972972972974,209.1891891891892
Munich,Munich,0,218.91891891891893
Oslo_Gap,Oslo_Gap,9.729729729729712,218.91891891891893
Oslo,Oslo,0,228.64864864864865
Paris_Gap,Paris_Gap,9.72972972972974,228.64864864864865
Paris,Paris,0,238.3783783783784
Prague_Gap,Prague_Gap,9.729729729729712,238.3783783783784
Prague,Prague,0,248.1081081081081
Reykjavik_Gap,Reykjavik_Gap,9.729729729729769,248.1081081081081
Reykjavik,Reykjavik,0,257.83783783783787
Riga_Gap,Riga_Gap,9.729729729729684,257.83783783783787
Riga,Riga,0,267.56756756756755
Rome_Gap,Rome_Gap,9.72972972972974,267.56756756756755
Rome,Rome,0,277.2972972972973
Skopje_Gap,Skopje_Gap,9.72972972972974,277.2972972972973
Skopje,Skopje,0,287.02702702702703
Sofia_Gap,Sofia_Gap,9.72972972972974,287.02702702702703
Sofia,Sofia,0,296.7567567567568
Stockholm_Gap,Stockholm_Gap,9.72972972972974,296.7567567567568
Stockholm,Stockholm,0,306.4864864864865
Tirana_Gap,Tirana_Gap,9.729729729729684,306.4864864864865
Tirana,Tirana,0,316.2162162162162
Vienna_Gap,Vienna_Gap,9.72972972972974,316.2162162162162
Vienna,Vienna,0,325.94594594594594
Warsaw_Gap,Warsaw_Gap,9.72972972972974,325.94594594594594
Warsaw,Warsaw,0,335.6756756756757
Zagreb_Gap,Zagreb_Gap,9.72972972972974,335.6756756756757
Zagreb,Zagreb,0,345.4054054054054
Zurich_Gap,Zurich_Gap,9.72972972972974,345.4054054054054
Zurich,Zurich,0,355.13513513513516
Remainder_Gap,Remainder_Gap,4.864864864864842,355.13513513513516
