source,target,value
Amsterdam,Amsterdam,1
Barcelona,Barcelona,1
Belfast,Belfast,1
Belgrade,Belgrade,1
Bern,Bern,1
Bilbao,Bilbao,1
Bordeaux,Bordeaux,1
Bratislava,Bratislava,1
Brussels,Brussels,1
Bucharest,Bucharest,1
Budapest,Budapest,1
Copenhagen,Copenhagen,1
Dublin,Dublin,1
Geneva,Geneva,1
Helsinki,Helsinki,1
Kiev,Kiev,1
Lisbon,Lisbon,1
London,London,1
Madrid,Madrid,1
Milan,Milan,1
Minsk,Minsk,1
Moscow,Moscow,1
Munich,Munich,1
Oslo,Oslo,1
Paris,Paris,1
Prague,Prague,1
Reykjavik,Reykjavik,1
Riga,Riga,1
Rome,Rome,1
Skopje,Skopje,1
Sofia,Sofia,1
Stockholm,Stockholm,1
Tirana,Tirana,1
Vienna,Vienna,1
Warsaw,Warsaw,1
Zagreb,Zagreb,1
Zurich,Zurich,1
